loop,loop_back,length,song_count,total_occurrences,walk_constraints,example_chord_instance,example_songs
dom7 fifth parallel parallel,→ parallel (closes),4,38,71,fifth|parallel|dom7,A#m D#m A#m A# A#m,nirvana - territorial pissings|Beatles - come together|Creed - Higher|led zepplin - kashmire|jackson michael - the way you make me feel|Beatles - paperback writer|Beatles - the end|Bon Jovi - bad medicine
borrowed borrowed relative relative,→ relative (closes),4,36,68,relative|borrowed,C A C Am C,nirvana - dumb|pearl jam - even flow|toto - hold the line|nirvana - territorial pissings|CCR - Green River|MatchBox 20 - Push|nirvana - radio friendly unit shifter|led zepplin - no quarter
borrowed relative parallel,→ parallel (closes),3,34,63,relative|borrowed|parallel,G A# Gm G,nirvana - heart shaped box|nirvana - dumb|foo fighters - monkey wrench|nirvana - territorial pissings|pearl jam - porch|Metallica - my friend of misery|Alice In Chains - dam that river|Beatles - being for the benefit of mr kite
borrowed parallel relative,→ relative (closes),3,34,61,relative|borrowed|parallel,C A Am C,Beatles - blackbird|led zepplin - when the levee breaks|pantera - mouth for war|Eric Clapton - i shot the sheriff|Beatles - the end|houston whitney - saving all my love for you|silverchair - tomorrow|joel billy - new york state of mind
borrowed fifth fifth fifth,→ fifth (closes),4,33,153,fifth|borrowed,D F C G D,Cranberries - Linger|simple minds - dont you forget about me|stone temple pilots - plush|pet shop boys - always on my mind|Queen - a kind of magic|oasis - shakermaker|Collective Soul - the world i know|Duran Duran - Rio
diatonic relative relative relative fifth,→ fifth (closes),5,32,75,fifth|diatonic|relative,D Em G Em G D,Depech Mode - enjoy the silence|depeche mode - enjoy the silence|joel billy - piano man|led zepplin - stairway to heaven|fleetwood mac - rhiannon|U2 - One|goo goo dolls - iris|Sting - shape of my heart
borrowed borrowed fifth dom7,→ dom7 (closes),4,32,57,fifth|borrowed|dom7,B G B F# B,nirvana - rape me|pearl jam - black|Beatles - eleanor rigby|jackson michael - black or white|rolling stones - you can't always get what you want|Rollin STones - Brown Sugar|rolling stones - brown sugar|MatchBox 20 - Push
borrowed dom7 parallel,→ parallel (closes),3,31,90,borrowed|parallel|dom7,Fm C F Fm,radiohead - subterranean homesick alien|doors the - riders on the storm|Beatles - eleanor rigby|radiohead - planet telex|Beatles - something|extreme - more than words|Beach Boys - kokomo|Billy Joel - Just the Way You Are
diatonic relative relative relative dom7,→ dom7 (closes),5,30,66,diatonic|relative|dom7,Em D Bm D Bm Em,led zepplin - rock and roll|whitetown - your woman|The Cars - drive|Madonna - papa don't preach|Madonna - papa don t preach|pearl jam - why go|Eric Clapton - i shot the sheriff|live - i alone
diatonic diatonic diatonic diatonic parallel,→ parallel (closes),5,28,56,diatonic|parallel,Gm F Gm F G Gm,toto - africa|kansas - dust in the wind|pink floyd - goodbye blue sky|Queen - play the game|morisette alanis - you learn|nine inch nails - eraser|super tramp - take the long way home|nirvana - son of a gun
borrowed fifth diatonic diatonic diatonic,→ diatonic (closes),5,27,58,fifth|diatonic|borrowed,E G D Em D E,AC DC - back in black|sublime - wrong way|led zepplin - dazed and confused|jamiroquai - virtual insanity|foo fighters - this is a call|aerosmith - pink|Peter Cetera - glory of love|George Michael - Father Figure
diatonic fifth diatonic relative,→ relative (closes),4,27,74,fifth|diatonic|relative,Am G D C Am,REM - Losing My Religion|pink floyd - wish you were here|Queen - bohemian rhapsody|Queen - Queen Bohemian Rhapsody|Boston - more than a feeling|Billy Joel - New York State of Mind|Metallica - jump in the fire|Bee Bees - massachusetts
borrowed dom7 diatonic diatonic diatonic,→ diatonic (closes),5,26,38,diatonic|borrowed|dom7,G# F A# G# A# G#,Bon Jovi - Wanted Dead Or Alive|righteous brothers - unchained melody|Alice In Chains - rooster|hole - violet|iron maiden - aces high|eve 6 - inside out|john elton - goodbye yellow brick road|soundgarden - pretty noose
borrowed dom7 tritoneSub,→ tritoneSub (closes),3,26,38,borrowed|dom7|tritoneSub,E C F E,mamas and the papas - california dreaming|jamiroquai - virtual insanity|weezer - el scorcho|Sheryl Crow - All I Wanna Do|Beatles - we can work it out|soundgarden - pretty noose|Joe Cocker - you are so beautiful|platters - only you
diatonic diatonic fifth diatonic fifth,→ fifth (closes),5,25,48,fifth|diatonic,G Am G D C G,Queen - bohemian rhapsody|Queen - Queen Bohemian Rhapsody|green day - longview|rolling stones - ruby tuesday|Tori Amos - corn flake girl|iron maiden - wasted years|Metallica - jump in the fire|Bee Bees - to love somebody
borrowed diatonic diatonic diatonic diatonic,→ diatonic (closes),5,25,56,diatonic|borrowed,A C Bm A Bm A,SEAL - kiss from a rose|Beatles - blackbird|Sheryl Crow - All I Wanna Do|Bush - glycerine|Beatles - lovely rita|joel billy - it's still rock and roll to me|silverchair - tomorrow|Alice In Chains - over now
borrowed fifth dom7 fifth diatonic,→ diatonic (closes),5,25,41,fifth|diatonic|borrowed|dom7,E G D G D E,police - every breath you take|pink floyd - comfortably numb|pink floyd - brain damage|Beatles - eight days a week|U2 - mysterious ways|Queen - a kind of magic|hootie and the blowfish - only wanna be with you|Madonna - cherish
diatonic fifth fifth relative,→ relative (closes),4,25,66,fifth|diatonic|relative,G#m A E B G#m,Queen - under pressure|Eric Clapton - wonderful tonight|fleetwood mac - little lies|radiohead - ripcord|police - so lonely|van morrison - into the mystic|live - all over you|Sting - mad about you
diatonic dom7 parallel dom7,→ dom7 (closes),4,25,73,diatonic|parallel|dom7,E F#m Bm B E,joel billy - uptown girl|Billy Joel - Uptown Girl|red hot chilli peppers - my friends|Harry Chapin - cats in the cradle|spice girls - too much|jethro tull - living in the past|Eagles - Wasted Time|Olivia Newton John - Xanadu
diatonic fifth dom7 relative dom7,→ dom7 (closes),5,24,37,fifth|diatonic|relative|dom7,C#m B F# B G#m C#m,houston whitney - i will always love you|ABBA - does your mother know|radiohead - ripcord|prince - little red corvette|Def Leppard - Love Bites|reel big fish - sell out|Beatles - act naturaly|reel big fish - take on me
diatonic diatonic relative diatonic dom7,→ dom7 (closes),5,24,50,diatonic|relative|dom7,G A G Em D G,pink floyd - wish you were here|AC DC - highway to hell|prince - kiss|dire straits - brothers in arms|Beatles - and your bird can sing|houston whitney - saving all my love for you|Celine Dion - Its All Coming Back To Me|dion celine - it's all coming back to me now
diatonic dom7 dom7 relative relative,→ relative (closes),5,24,40,diatonic|relative|dom7,C D G C Am C,Beatles - i want to hold your hand|Meridith Brooks - bitch|weezer - the good life|Tori Amos - corn flake girl|smashing pumpkins - cupid de locke|Bee Bees - massachusetts|beegees - massachusetts|Eagles - Lyin Eyes
parallel parallel relative relative,→ relative (closes),4,24,55,relative|parallel,C#m C# C#m E C#m,rage against the machine - killing in the name of|led zepplin - black dog|led zepplin - kashmire|Bon Jovi - bad medicine|led zepplin - the ocean|Alice In Chains - dam that river|hendrix jimi - voodoo chile|nine inch nails - sanctified
diatonic diatonic relative relative relative,→ relative (closes),5,23,37,diatonic|relative,G F Em G Em G,toto - africa|ABBA - super trouper|fleetwood mac - the chain|Queen - one vision|Duran Duran - The Reflex|houston whitney - i wanna dance with somebody|Michael Bolton - when a man loves a woman|Asia - only time will tell
diatonic dom7 relative relative dom7,→ dom7 (closes),5,23,55,diatonic|relative|dom7,C D G Em G C,U2 - One|styx - come sail away|Tears for Fears - Sowing the Seeds of Love|Chubby Checker - let s twist again|Queen - the miracle|Beatles - all together now|everclear - everything to everyone|Eagles - Lyin Eyes
diatonic dom7 dom7 fifth relative,→ relative (closes),5,22,58,fifth|diatonic|relative|dom7,F#m E A D A F#m,ABBA - dancing queen|john elton - crocodile rock|CCR - Wholl Stop The Rain|monkees - daydream believer|green day - in the end|Eagles - Desperado|john elton - circle of life|Christina Aguilera - I Turn To You
dom7 parallel parallel fifth,→ fifth (closes),4,22,32,fifth|parallel|dom7,G#m C#m C# C#m G#m,aerosmith - crazy|Creed - Higher|nirvana - tourettes|U2 - where the streets have no name|Billy Joel - Just the Way You Are|joel billy - just the way you are|smashing pumpkins - zero|ZZ Top - Tush
diatonic diatonic relative fifth,→ fifth (closes),4,22,84,fifth|diatonic|relative,Bm Am G Em Bm,pink floyd - comfortably numb|Queen - the show must go on|dire straits - brothers in arms|oasis - don't go away|cream - badge|Beatles - your mother should know|Chicago - 25 or 6 to 4|van halen - right now
diatonic diatonic leadingTone leadingTone,→ leadingTone (closes),4,22,35,diatonic|leadingTone,A G A G#dim A,BareNaked Ladies - One Week|Queen - friends will be friends|Sugar Ray - Someday|Beatles - flying|rolling stones - as tears go by|Michael Bolton - when a man loves a woman|offspring - i choose|pearl jam - mankind
borrowed borrowed parallel parallel,→ parallel (closes),4,22,39,borrowed|parallel,G E G Gm G,faith no more - epic|nirvana - milk it|Beatles - eight days a week|Beatles - magical mystery tour|silverchair - tomorrow|nine inch nails - eraser|jamiroquai - too young to die|steve miller band - rock'n me
borrowed diatonic dom7 diatonic,→ diatonic (closes),4,22,54,diatonic|borrowed|dom7,E G A D E,U2 - One|Bon Jovi - always|Kenny Loggins - Footloose|Beatles - eight days a week|Beatles - maxwell's silver hammer|REM - night swimming|Beatles - piggies|van halen - you really got me
leadingTone leadingTone leadingTone leadingTone,→ leadingTone (closes),4,22,103,leadingTone,F Edim F Edim F,nirvana - all apologies|Boston - more than a feeling|nirvana - lounge act|Madonna - papa don't preach|Madonna - papa don t preach|Bush - machine head|Sugar Ray - Someday|offspring - i choose
diatonic fifth relative fifth,→ fifth (closes),4,21,137,fifth|diatonic|relative,F#m G D Bm F#m,Cranberries - ode to my family|fugees - ready or not|osbourne ozzy - mr crowley|The Cars - drive|green day - coming clean|spice girls - viva forever|van halen - dreams|Eagles - Heartache Tonight
dom7 parallel fifth,→ fifth (closes),3,21,46,fifth|parallel|dom7,B Em E B,AC DC - thunderstruck|doors the - riders on the storm|fleetwood mac - the chain|weezer - getchoo|ZZ Top - Tush|Genesis - Land of Confusion|ZZ Top - Legs|Phil Collins - take me home
borrowed dom7 relative,→ relative (closes),3,21,39,relative|borrowed|dom7,G B Em G,Beatles - yesterday|prince - when doves cry|Beatles - while my guitar gently weeps|foo fighters - up in arms|Cake - frank sinatra|Santana - Smooth|stone temple pilots - big bang baby|Beatles - there's a place
