loop,loop_back,length,song_count,total_occurrences,walk_constraints,example_chord_instance,example_songs
borrowed parallel dom7 diatonic,→ diatonic (closes),4,7,9,diatonic|borrowed|parallel|dom7,A# G Gm Cm A#,Depech Mode - master and servant|depeche mode - master and servant|soundgarden - hunted down|van halen - finish what ya started|Barry Manilow - Even Now|Madonna - Madonna Skin|dion celine - move any mountain
borrowed fifth diatonic tritoneSub,→ tritoneSub (closes),4,7,11,fifth|diatonic|borrowed|tritoneSub,E C G F E,Beatles - we can work it out|van halen - spanish fly|Beatles - abbey road medley|Foreigner - Blue Morning|dire straits - private|Billy Joel - BillyJoel StillRnRToMe|Righteoud Brothers - RighteousBrothers EbbTide
borrowed borrowed dom7 diatonic,→ diatonic (closes),4,7,18,diatonic|borrowed|dom7,A F D G A,nirvana - pennyroyal tea|roxette - the look|soundgarden - pretty noose|Olivia Newton John - Xanadu|Beatles - free as a bird|hornsby bruce - stander on the mountain|rush - run2u 2
borrowed borrowed dom7 relative,→ relative (closes),4,7,13,relative|borrowed|dom7,Am E G C Am,Rollin STones - Paint it Black|rolling stones - paint it black|CCR - I Put A Spell On You|Genesis - anyway|Boyz II Men - Yesterday|drifters the - under the boardwalk|Billy Joel - BillyJoel Honesty
borrowed dom7 dom7 fifth,→ fifth (closes),4,7,22,fifth|borrowed|dom7,Em B Em Am Em,doors the - people are strange|Cake - never there|CCR - I Put A Spell On You|Santana - Black Magic Woman|Eric Clapton - i shot the sheriff|Ricky Martin - La Copa De La Vida|clapton eric - i shot the sheriff
borrowed fifth dom7 dom7,→ dom7 (closes),4,7,12,fifth|borrowed|dom7,Cm G D Gm Cm,Peter Cetera - glory of love|fleetwood mac - man of the world|Genesis - anyway|Enigma - enigma|grant amy - heirlooms|carey mariah - miss you most at christmas time|cetera peter - glory of love
borrowed parallel diatonic diatonic,→ diatonic (closes),4,7,20,diatonic|borrowed|parallel,G B Bm A G,wonder stevie - isn't she lovely|silverchair - tomorrow|Genesis - duke's end|Genesis - duke s end|boys 2 men - yesterday|gabriele peter - starless|wonder stevie - isn t she lovely
diatonic dom7 relative fifth dom7,→ dom7 (closes),5,6,15,fifth|diatonic|relative|dom7,Em D G Em Bm Em,"nirvana - school|Beatles - no reply|Peter Cetera - if you leave me now|ABBA - just like that|Lionel Richie - Richie,Lionel YouAreTrulyMyEndlessLove|cetera peter - if you leave me now"
borrowed relative relative relative parallel,→ parallel (closes),5,6,8,relative|borrowed|parallel,G A# Gm A# Gm G,earth wind fire - fantasy|hendrix jimi - voodoo chile|ABBA - like an angel passing through my room|Eric Clapton - rock n roll heart|ABBA - like an angel pSÌŒugh my room|clapton eric - rock 'n roll heart
borrowed borrowed dom7 relative diatonic,→ diatonic (closes),5,6,6,diatonic|relative|borrowed|dom7,E C# E A F#m E,jackson michael - billie jean|Bryan Adams - Christmas Time|ABBA - name of the game|Righteoud Brothers - RighteousBrothers UnchainedMelody2|Righteoud Brothers - RighteousBrothers UnchainedMelody4|carey mariah - miss you most at christmas time
borrowed borrowed diatonic dom7 dom7,→ dom7 (closes),5,6,15,diatonic|borrowed|dom7,G B G A D G,Beatles - here comes the sun|Beatles - fixing a hole|Elvis - intheghetto|ABBA - thank you for the music|Bryan Adams - Christmas Time|Billy Joel - Shes Always a Woman to Me
diatonic relative dom7 relative relative,→ relative (closes),5,6,8,diatonic|relative|dom7,Em D Bm Em G Em,smashing pumpkins - tonight tonight|Boyz II Men - ill make love to you|super tramp - bloody well right|Kenney Rogers - Through the Years|America - america a horse with no name1|boys 2 men - ill make love to you
borrowed diatonic diatonic dom7 fifth,→ fifth (closes),5,6,7,fifth|diatonic|borrowed|dom7,D A# C D G D,beegees - how can you mend a broken heart|Eric Clapton - white room|pet shop boys - se a vida e|Beach Boys - surfs up|clapton eric - white room|pet shop boys - normally
diatonic fifth parallel parallel fifth,→ fifth (closes),5,6,12,fifth|diatonic|parallel,B A E Em E B,Beatles - boys|Beatles - she's a woman|James Brown - i feel good|Beatles - she s a woman|Righteoud Brothers - RighteousBrothers LittleLatinLupeLu(1963)|brown james - i feel good
borrowed diatonic dom7 relative dom7,→ dom7 (closes),5,6,9,diatonic|relative|borrowed|dom7,G A# C F Dm G,oasis - whatever|Joe Cocker - unchain my heart|stone temple pilots - lady picture show|Billy Joel - Movin Out|joel billy - movin out|cocker joe - unchain my heart
diatonic fifth dom7 dom7 dom7,→ dom7 (closes),5,6,13,fifth|diatonic|dom7,G A E A D G,"morisette alanis - head over feet|steve miller band - rock'n me|steve miller band - rock n me|Bon Jovi - thank you for loving mebonjovi|Lionel Richie - Richie,Lionel DancingOnTheCeiling|joel billy - root beer rag"
diatonic leadingTone leadingTone relative dom7,→ dom7 (closes),5,6,9,diatonic|relative|dom7|leadingTone,Am G F#dim G Em Am,Boston - more than a feeling|Madonna - papa don't preach|Madonna - papa don t preach|Mariah Carey - oh holy night|Madonna - Madonna PapaDontPreach|carey mariah - oh holy night
borrowed diatonic dom7 fifth dom7,→ dom7 (closes),5,6,9,fifth|diatonic|borrowed|dom7,B G# F# B F# B,Harry Chapin - cats in the cradle|veruca salt - seether|Collective Soul - precious declaration|Queen - Queen Crazy little thing called love|Elvis - bluehawaii|chapin harry - cats in the cradle
diatonic parallel parallel dom7 dom7,→ dom7 (closes),5,6,8,diatonic|parallel|dom7,G Am A Am Dm G,pearl jam - yellow leadbetter|weezer - el scorcho|Phil Collins - sussudio|Enigma - sadness|Genesis - sussudio|collins phil - sussudio
borrowed borrowed borrowed relative parallel,→ parallel (closes),5,6,16,relative|borrowed|parallel,E G E G Em E,silverchair - tomorrow|nine inch nails - sanctified|rush - time and motion|James Brown - i got the feelin|Garth Brooks - black sheep of the family|brown james - i got the feelin
borrowed borrowed dom7 dom7 diatonic,→ diatonic (closes),5,6,11,diatonic|borrowed|dom7,A C A D G A,led zepplin - misty mountain hop|aerosmith - pink|ugly kid joe - cats in the cradle|Joe Cocker - summer in the city|clapton eric - nobody knows you when you're down and out|cocker joe - summer in the city
borrowed parallel parallel parallel relative,→ relative (closes),5,6,20,relative|borrowed|parallel,G E Em E Em G,pantera - mouth for war|silverchair - tomorrow|hendrix jimi - voodoo chile|nine inch nails - sanctified|Johnny Rivers - RiversBreath Amazon|crow sheryl - everyday is a winding road
borrowed dom7 relative fifth,→ fifth (closes),4,6,7,fifth|relative|borrowed|dom7,D B Em G D,"Bee Bees - how deep is your love|beegees - how deep is your love|john elton - circle of life|Barry Manilow - BarryManilow CantSmileWithoutYou|Johnny Rivers - Rivers,Johnny PoorSideOfTown2|gabriele peter - starless"
borrowed dom7 borrowed fifth,→ fifth (closes),4,6,8,fifth|borrowed|dom7,C D# G# F C,nirvana - heart shaped box|stone temple pilots - plush|Billy Joel - New York State of Mind|George Michael - Father Figure|Elvis - elvis|wonder stevie - boogie on reggae women
diatonic fifth parallel relative,→ relative (closes),4,6,9,fifth|diatonic|relative|parallel,G A E Em G,"Bon Jovi - bad medicine|morisette alanis - you learn|emf - unbelievable|pearl jam - animal|prince - cream|Peter Gabriel - Gabriel, Peter Sledgehammer"
borrowed fifth relative parallel,→ parallel (closes),4,6,12,fifth|relative|borrowed|parallel,F# D A F#m F#,police - roxanne|weather report - teentown|Genesis - get 'em out by friday|Genesis - get em out by friday|Sting - saint agnes and the burning|Eric Clapton - Eric Clapton Tears in heaven1
borrowed dom7 fifth dom7,→ dom7 (closes),4,6,26,fifth|borrowed|dom7,G#m D# G#m D#m G#m,weezer - getchoo|erasure - chains of love|Ricky Martin - Maria|joel billy - 52nd street|manilow barry - copacabana|Metallica - unforgiven new
chromaticMediant diatonic diatonic,→ diatonic (closes),3,6,6,diatonic|chromaticMediant,Gm A#m G# Gm,super tramp - take the long way home|Ben Folds Five - uncle walter|Mariah Carey - till the end of time|grant amy - el shaddai|Johnny Rivers - RiversBreath Amazon|carey mariah - till the end of time
borrowed borrowed borrowed,→ borrowed (closes),3,6,10,borrowed,F C# A F,john elton - your song|pearl jam - hail hail|Genesis - broadway melody of 1974|rednex - cotton eyed joe|yes - heart of sunrise|carey mariah - miss you most at christmas time
diatonic fifth dom7 relative fifth,→ fifth (closes),5,5,7,fifth|diatonic|relative|dom7,G Am Em Am C G,Madonna - take a bow|offspring - leave it behind|yes - starship trooper|ABBA - eagle|Madonna - Madonna TakeABow
borrowed dom7 dom7 diatonic fifth,→ fifth (closes),5,5,8,fifth|diatonic|borrowed|dom7,F# D# G#m C# B F#,Beatles - from me to you|ABBA - that's me|Mariah Carey - just to hold you once again|ABBA - that s me|carey mariah - just to hold you once again
diatonic relative relative relative leadingTone,→ leadingTone (closes),5,5,6,diatonic|relative|leadingTone,D#dim C#m E C#m E D#dim,Alice In Chains - i stay away|Shawn Colvin - sunny came home|guess who - these eyes|Journey - Journey Anyway you want it|colvin shawn - sunny came home
diatonic relative fifth relative fifth,→ fifth (closes),5,5,7,fifth|diatonic|relative,D C Am Em G D,rolling stones - angie|dire straits - brothers in arms|Billy Joel - Goodnight Saigon|Queen - days of our lives|America - America TinMan
diatonic leadingTone relative relative relative,→ relative (closes),5,5,10,diatonic|relative|leadingTone,Em F#dim G Em G Em,Collective Soul - precious declaration|Hanson - thinking of you|van halen - human being|America - america I Need You|America - america I Need You sll
borrowed borrowed fifth diatonic fifth,→ fifth (closes),5,5,7,fifth|diatonic|borrowed,B G B F# E B,led zepplin - rock and roll|Beatles - fixing a hole|Beatles - boys|puff daddy - been around the world|Beat - puffy beenaround
borrowed fifth diatonic dom7 fifth,→ fifth (closes),5,5,9,fifth|diatonic|borrowed|dom7,E G D E A E,kiss - plaster caster|Tori Amos - daisy dead petals|Beatles - me and my monkey|Queen - Queen A kind of magic|doors the - 20th century fox
diatonic diatonic parallel dom7 fifth,→ fifth (closes),5,5,7,fifth|diatonic|parallel|dom7,D C D Dm G D,Beatles - taxman|Collective Soul - shine|dave matthews band - too much|Genesis - domino|rea chris - curse of the traveller
borrowed parallel diatonic diatonic relative,→ relative (closes),5,5,5,diatonic|relative|borrowed|parallel,D#m A# A#m G#m F# D#m,Eric Clapton - i shot the sheriff|Blues Traveller - crash and burn|beegees - woman in love|clapton eric - i shot the sheriff|Bee Bees - woman in love
borrowed borrowed borrowed tritoneSub diatonic,→ diatonic (closes),5,5,9,diatonic|borrowed|tritoneSub,E G B G F# E,jackson michael - billie jean|Genesis - firth of fifth|Ben Folds Five - underground|joel billy - baby grand|Billy Joel - Shes Always a Woman to Me
borrowed diatonic fifth fifth dom7,→ dom7 (closes),5,5,5,fifth|diatonic|borrowed|dom7,E G A E B E,Bryan Adams - Kids Wanna Rock|Ray Charles - what i say|Queen - Queen Crazy little thing called love|White Zombie - Temple Of The Bull|charles ray - what i say
diatonic relative fifth relative relative,→ relative (closes),5,5,8,fifth|diatonic|relative,G Am C G Em G,oasis - stand by me|oasis - morning glory|Queen - save me|Depech Mode - somebody|depeche mode - somebody
borrowed relative parallel dom7 fifth,→ fifth (closes),5,5,8,fifth|relative|borrowed|parallel|dom7,G A# Gm G C G,spice girls - too much|James Brown - i got the feelin|Eric Clapton - rollin and tumblin|brown james - i got the feelin|clapton eric - rollin and tumblin
diatonic diatonic diatonic diatonic fifth,→ fifth (closes),5,5,11,fifth|diatonic,C# B A#m G#m F# C#,Queen - the show must go on|fleetwood mac - you make loving fun|Partridge Family - I Think I Love You|Genesis - the lamia|van morrison - have i told you lately that i love you
borrowed fifth fifth dom7 diatonic,→ diatonic (closes),5,5,7,fifth|diatonic|borrowed|dom7,A C G D G A,pink floyd - brain damage|rush - manhattan project|Hanson - thinking of you|Queen - i can t live with you|nirvana - up on a plain
borrowed borrowed fifth diatonic diatonic,→ diatonic (closes),5,5,6,fifth|diatonic|borrowed,G E C G Am G,Peter Cetera - glory of love|emerson lake and palmer - tarkus|guns %26 roses - anything goes|cetera peter - glory of love|hornsby bruce - stander on the mountain
borrowed borrowed borrowed diatonic dom7,→ dom7 (closes),5,5,12,diatonic|borrowed|dom7,D# C D# C A# D#,radiohead - planet telex|Tears for Fears - Sowing the Seeds of Love|jackson michael - stranger in moscow|offspring - way down the line|beach boys - i just wasnt made for these times
chromaticMediant chromaticMediant relative relative,→ relative (closes),4,5,21,relative|chromaticMediant,Fm Dm Fm G# Fm,Alice In Chains - nutshell|reel big fish - she has a girlfriend now|2 Unlimited - twilight zone|everlast - what it s like|Beat - whatitslike
diatonic diatonic dom7 tritoneSub,→ tritoneSub (closes),4,5,21,diatonic|dom7|tritoneSub,A# G# F# B A#,led zepplin - stairway to heaven|Alice In Chains - heaven beside you|Bangles - eternal flame|palmer robert - simply irrestible|Robert Palmer - Robert Palmer Simply Irresistible
dom7 leadingTone dom7 relative,→ relative (closes),4,5,9,relative|dom7|leadingTone,G C Bdim Em G,police - next to you|prince - sign o the times|van halen - and the cradle will rock|Atlantic Starr - i ll remember you|atlantic starr - i'll remember you
diatonic fifth fifth parallel,→ parallel (closes),4,5,12,fifth|diatonic|parallel,Dm C G D Dm,Beatles - taxman|nirvana - hairspray queen|def leppard - two steps behind|yes - rhythm of love|weather report - picture of you
diatonic dom7 relative parallel,→ parallel (closes),4,5,6,diatonic|relative|parallel|dom7,E D G Em E,Def Leppard - Love Bites|jamiroquai - too young to die|smashing pumpkins - rocket|Big Mr - to be with you|houston whitney - all the man
diatonic relative fifth fifth,→ fifth (closes),4,5,5,fifth|diatonic|relative,F#m G Em Bm F#m,smith will - men in black|Bryan Adams - all for love|Bryan Adams - All For One|adams bryan - all for love|clapton eric - layla
borrowed diatonic relative diatonic,→ diatonic (closes),4,5,13,diatonic|relative|borrowed,G E F#m A G,CCR - Proud Mary|rush - the weapon|live - rattlesnake|SEAL - dreaming in metaphors|pet shop boys - se a vida e
diatonic relative diatonic relative,→ relative (closes),4,5,9,diatonic|relative,Bm Am C D Bm,radiohead - karma police|yes - roundabout|Genesis - never a time|toto - a thousand years|Don Henley - end of innocence
borrowed diatonic relative fifth,→ fifth (closes),4,5,6,fifth|diatonic|relative|borrowed,A C Bm D A,"Genesis - invisible touch|Genesis - No Son of Mine|petty tom - into the great wide open|Lionel Richie - Richie,Lionel ThreeTimesALady|Lionel Richie - Richie,Lionel ThreeTimesALady1"
borrowed diatonic diatonic fifth,→ fifth (closes),4,5,6,fifth|diatonic|borrowed,E C# B A E,Rollin STones - Gimme Shelter|rolling stones - gimme shelter|led zepplin - stairway to heaven|who the - pinball wizard|yes - starship trooper
