title,chord_count,chord_sequence,edge_type_sequence,edge_types_found,unmappable_chords
Eagles - Hotel California - (Em) ,80,Em B7 D A C G Am B7 Em B7 D A C G Am B7 Em B7 D A C G Am B7 C G B7 Em C G Am B7 Em B7 D A C G Am B7 Em B7 D A C G Am B7 C G B7 Em C G Am B7 Em B7 D A C G Am B7 Em B7 D A C G Am B7 Em B7 D A C G Am B7,borrowed borrowed fifth borrowed fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ _ fifth borrowed dom7 _ fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ _ fifth borrowed dom7 _ fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _ dom7 borrowed borrowed fifth borrowed fifth diatonic _,fifth|plagal|diatonic|borrowed|dom7|chromaticMediant,
Ed Sheeran - Perfect,78,Ab Fm7 Dbsus2 Eb Ab Fm7 Ab Fm7 Dbsus2 Ab Eb Ab Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Ab Fm7 Dbsus2 Eb Ab Fm7 Dbsus2 Eb Ab Fm7 Dbsus2 Ab Eb Ab Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Ab Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Fm7 Dbsus2 Ab Eb Ab Eb Fm Eb Dbsus2 Eb Ab,relative _ diatonic dom7 relative relative relative _ fifth fifth dom7 relative _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth dom7 relative _ diatonic dom7 relative _ diatonic dom7 relative _ fifth fifth dom7 relative _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth dom7 relative _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth dom7 fifth diatonic diatonic diatonic diatonic dom7,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,
Elliott Smith - Between The Bars,47,Gm7 Bb Dm7 Gm7 Ebadd9 Bb D Eb Gm7 Ebadd9 Bb Dm7 Gm7 Ebadd9 Bb D Eb F6 Gm Eb F6 Gm Eb Ebm Bb Dm7 Gm7 Ebadd9 Bb D Eb Gm7 Ebadd9 Bb Dm7 Gm7 Ebadd9 Bb D Eb F6 Gm Eb F6 Gm Eb Ebm,relative _ dom7 _ _ borrowed _ _ _ _ _ dom7 _ _ borrowed _ _ _ _ _ _ _ parallel borrowed _ dom7 _ _ borrowed _ _ _ _ _ dom7 _ _ borrowed _ _ _ _ _ _ _ parallel,relative|borrowed|parallel|dom7|chromaticMediant,Ebadd9|F6
Elton John - Can You Feel The Love Tonight,108,Eb Bb Eb Bb Eb Bbadd2 Cm7 F Eb Bb Eb Bb Eb Gm Ab F Bb F Gm Eb Bb Eb C F Eb Bb Gm Eb Cm Bb Eb C F Bb F Gm Eb Bb Eb C F Eb Bb Gm Eb Cm Bb Eb Bb Eb Bb Eb Bb Eb Bbadd2 Cm7 F Eb Bb Eb Bb Eb Gm Ab F Fsus4 F Bb F Gm Eb Bb Eb C F Eb Bb Gm Eb Cm Bb Eb C F Bb F Gm Eb Bb Eb C F Eb Bb Gm Eb Cm Bb Eb Bb Eb Bb Gm Eb Cm Bb Eb Bb,fifth dom7 fifth dom7 _ _ dom7 diatonic fifth dom7 fifth dom7 _ diatonic borrowed dom7 fifth diatonic _ fifth dom7 borrowed dom7 diatonic fifth relative _ relative diatonic dom7 borrowed dom7 dom7 fifth diatonic _ fifth dom7 borrowed dom7 diatonic fifth relative _ relative diatonic dom7 fifth dom7 fifth dom7 fifth dom7 _ _ dom7 diatonic fifth dom7 fifth dom7 _ diatonic borrowed _ _ dom7 fifth diatonic _ fifth dom7 borrowed dom7 diatonic fifth relative _ relative diatonic dom7 borrowed dom7 dom7 fifth diatonic _ fifth dom7 borrowed dom7 diatonic fifth relative _ relative diatonic dom7 fifth dom7 fifth relative _ relative diatonic dom7 fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,Bbadd2
Elton John - Daniel,81,C F G C Dm G E Am F G Am F G F C G C Dm G E Am F G Am F G F C F C F C Am F Ab C A Dm G C Dm G E Am F G Am F G F C F C F C Am F Ab C A Dm G C Dm G E Am F G Am F G F C F G F C F G C,dom7 diatonic dom7 diatonic dom7 borrowed dom7 _ diatonic diatonic _ diatonic diatonic fifth fifth dom7 diatonic dom7 borrowed dom7 _ diatonic diatonic _ diatonic diatonic fifth dom7 fifth dom7 fifth relative _ borrowed borrowed borrowed dom7 dom7 dom7 diatonic dom7 borrowed dom7 _ diatonic diatonic _ diatonic diatonic fifth dom7 fifth dom7 fifth relative _ borrowed borrowed borrowed dom7 dom7 dom7 diatonic dom7 borrowed dom7 _ diatonic diatonic _ diatonic diatonic fifth dom7 diatonic diatonic fifth dom7 diatonic dom7,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant,
Elton John - I Guess That's Why They Call It The Blues,155,G Em7 F C Dm C Dm C Dm C G Bm F C Dm C Dm C Dm C G B7 Em7 Dm7 C G Am F G F G C G F C G F C G Am C F D F C Em7 F G Em7 F C Dm C Dm C Dm C G Bm F C Dm C Dm C Dm C G B7 Em7 Dm7 C G Am F G F G C G F C G F C G Am C F D F C Em7 F G Em7 F C Dm C Dm C Dm C G Bm F C Dm C Dm C Dm C G B7 Em7 Dm7 C G Am F G F G C G F C G F C G Am C F D F C G Am Em7 F C G Am Em7 F C G Am Em7 F G C,relative diatonic fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth _ _ fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth borrowed dom7 diatonic diatonic fifth diatonic _ diatonic diatonic diatonic dom7 fifth diatonic fifth fifth diatonic fifth fifth diatonic relative dom7 borrowed borrowed fifth _ diatonic diatonic relative diatonic fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth _ _ fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth borrowed dom7 diatonic diatonic fifth diatonic _ diatonic diatonic diatonic dom7 fifth diatonic fifth fifth diatonic fifth fifth diatonic relative dom7 borrowed borrowed fifth _ diatonic diatonic relative diatonic fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth _ _ fifth diatonic diatonic diatonic diatonic diatonic diatonic fifth borrowed dom7 diatonic diatonic fifth diatonic _ diatonic diatonic diatonic dom7 fifth diatonic fifth fifth diatonic fifth fifth diatonic relative dom7 borrowed borrowed fifth fifth diatonic fifth diatonic fifth fifth diatonic fifth diatonic fifth fifth diatonic fifth diatonic diatonic dom7,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,
Elton John - Your Song,108,Eb Ab Bb Ab Eb Abmaj7 Bb Gm Cm Ab6 Eb Bb G Cm Eb Fm Ab Bb Bbsus4 Eb Abmaj7 Bb Gm Cm Ab6 Eb Bb G Cm Eb Fm Ab Eb Ebsus4 Bb Cm Fm Ab Bb Cm Fm Ab Cm Ab6 Eb Fm Ab Bb Bbsus4 Eb Ab Bb Ab Eb Abmaj7 Bb Gm Cm Ab6 Eb Bb G Cm Eb Fm Ab Bb Bbsus4 Eb Abmaj7 Bb Gm Cm Ab6 Eb Bb G Cm Eb Fm Ab Eb Ebsus4 Bb Cm Fm Ab Bb Cm Fm Ab Cm Ab6 Eb Fm Ab Bb Bbsus4 Cm Ab6 Eb Fm Ab Eb Ab Bb Ab Eb,dom7 diatonic diatonic fifth dom7 diatonic relative dom7 _ _ fifth borrowed dom7 relative diatonic relative diatonic _ dom7 dom7 diatonic relative dom7 _ _ fifth borrowed dom7 relative diatonic relative fifth _ fifth diatonic dom7 relative diatonic diatonic dom7 relative _ _ _ diatonic relative diatonic _ dom7 dom7 diatonic diatonic fifth dom7 diatonic relative dom7 _ _ fifth borrowed dom7 relative diatonic relative diatonic _ dom7 dom7 diatonic relative dom7 _ _ fifth borrowed dom7 relative diatonic relative fifth _ fifth diatonic dom7 relative diatonic diatonic dom7 relative _ _ _ diatonic relative diatonic _ diatonic _ _ diatonic relative fifth dom7 diatonic diatonic fifth,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant,Ab6
Elvis Presley - Always On My Mind,80,G D Em G C D G D Em G A7 C G C G Am7 C D G C D G C D G D Em G C D G D Em G A7 C G C G Am7 C D G C D G C D G D Em G C G Am D G D Em G C G Am D G D Em G A7 C G C G Am7 C D G C D G,fifth diatonic relative dom7 diatonic dom7 fifth diatonic relative diatonic borrowed fifth dom7 fifth diatonic relative diatonic dom7 dom7 diatonic dom7 dom7 diatonic dom7 fifth diatonic relative dom7 diatonic dom7 fifth diatonic relative diatonic borrowed fifth dom7 fifth diatonic relative diatonic dom7 dom7 diatonic dom7 dom7 diatonic dom7 fifth diatonic relative dom7 fifth diatonic dom7 dom7 fifth diatonic relative dom7 fifth diatonic dom7 dom7 fifth diatonic relative diatonic borrowed fifth dom7 fifth diatonic relative diatonic dom7 dom7 diatonic dom7,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant,
Elvis Presley - Can't Help Falling In Love,80,D A D F#m Bm G D A G A7 Bm G D A D F#m Bm G D A G A7 Bm G D A D F#m C#7 F#m C#7 F#m C#7 F#m B7 Em A7 D F#m Bm G D A G A7 Bm G D A D F#m C#7 F#m C#7 F#m C#7 F#m B7 Em A7 D F#m Bm G D A G A7 Bm G D A D G A7 Bm G D A D,fifth dom7 _ dom7 _ fifth fifth diatonic diatonic diatonic _ fifth fifth dom7 _ dom7 _ fifth fifth diatonic diatonic diatonic _ fifth fifth dom7 _ borrowed dom7 borrowed dom7 borrowed dom7 dom7 dom7 dom7 dom7 _ dom7 _ fifth fifth diatonic diatonic diatonic _ fifth fifth dom7 _ borrowed dom7 borrowed dom7 borrowed dom7 dom7 dom7 dom7 dom7 _ dom7 _ fifth fifth diatonic diatonic diatonic _ fifth fifth dom7 dom7 diatonic diatonic _ fifth fifth dom7,fifth|plagal|diatonic|borrowed|dom7,
Elvis Presley - If I Can Dream,100,C Am C Am F Gsus4 C Em Am Em F G C Bb C F E7 Am C Am F Dm7 C Am Dm7 G F G C Am F Gsus4 C Em Am Em F G C Bb C F E7 Am C Am F Dm7 C G C F C C7 F F#dim C C7 F F#dim C C7 F F#dim C E7 Am Dsus4 D F G A D Bm G Asus4 D F#m Bm F#m Em7 A D D7 G G#dim D Bm D Bm G Em7 G D Bm D Bm D G D,relative relative relative _ diatonic dom7 _ dom7 fifth diatonic diatonic dom7 diatonic diatonic dom7 tritoneSub dom7 relative relative _ relative diatonic relative dom7 dom7 diatonic diatonic dom7 relative _ diatonic dom7 _ dom7 fifth diatonic diatonic dom7 diatonic diatonic dom7 tritoneSub dom7 relative relative _ relative diatonic fifth dom7 dom7 fifth _ dom7 _ _ _ dom7 _ _ _ dom7 _ _ borrowed dom7 dom7 _ borrowed diatonic diatonic dom7 relative _ diatonic dom7 _ dom7 fifth diatonic dom7 dom7 _ dom7 _ _ relative relative relative _ relative relative fifth relative relative relative relative dom7 fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant|tritoneSub,
Enya - Only Time,61,Eb Cm Ab Eb Cm Ab Eb Cm Ab Bb Eb Cm Ab Bb Eb Cm Ab Eb Cm Ab Eb Cm Ab Bb Eb Cm Ab Bb Eb Cm Ab Eb Cm Ab Eb Ab Eb Gb Db B Gb Db B Gb Db B Gb Db B Bb Eb Cm Ab Eb Cm Ab Eb Ab Eb Ab Eb,relative _ fifth relative _ fifth relative _ diatonic dom7 relative _ diatonic dom7 relative _ fifth relative _ fifth relative _ diatonic dom7 relative _ diatonic dom7 relative _ fifth relative _ fifth dom7 fifth borrowed fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic tritoneSub dom7 relative _ fifth relative _ fifth dom7 fifth dom7 fifth,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant|tritoneSub,
Eric Clapton - Tears in Heaven,81,A E F#m A D A E A E F#m A D A E F#m C# A7 F#7 Bm7 A E F#m A D A E A E F#m A D A E F#m C# A7 F#7 Bm7 A C G Am7 C G Am7 D G D E A E F#m A D A E F#m C# A7 F#7 Bm7 A E F#m A D A E A E F#m A D A E F#m C# A7 F#7 Bm7 A,fifth diatonic relative dom7 fifth fifth dom7 fifth diatonic relative dom7 fifth fifth diatonic borrowed borrowed borrowed dom7 diatonic fifth diatonic relative dom7 fifth fifth dom7 fifth diatonic relative dom7 fifth fifth diatonic borrowed borrowed borrowed dom7 diatonic borrowed fifth diatonic relative fifth diatonic dom7 dom7 fifth diatonic dom7 fifth diatonic relative dom7 fifth fifth diatonic borrowed borrowed borrowed dom7 diatonic fifth diatonic relative dom7 fifth fifth dom7 fifth diatonic relative dom7 fifth fifth diatonic borrowed borrowed borrowed dom7 diatonic,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,
Father John Misty - Real Love Baby,39,D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G D Em G,diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative fifth diatonic relative,fifth|plagal|diatonic|relative,
Finneas - Break My Heart Again,90,Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Bm Em D C D Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Em Am7 D D7 Gmaj7 Bm Em D C D Em Am D D7 G B Em Am D D7 G Bm Em Am D D7 G Em Am7 D D7 G Bm7 Em D C,dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 _ dom7 diatonic diatonic diatonic diatonic dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 _ dom7 diatonic diatonic diatonic diatonic dom7 dom7 _ dom7 borrowed dom7 dom7 dom7 _ dom7 _ dom7 dom7 dom7 _ dom7 relative dom7 dom7 _ dom7 _ dom7 diatonic diatonic,diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,
Fleetwood Mac - Dreams,96,F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F Am G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F G F,diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic _ diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic,diatonic|iiVI|borrowed,
Fleetwood Mac - Songbird,52,F Bb F Bb F Bb F Bb F Gm Bb Dm C Bb F Bb F Bb F Gm Bb Dm C Bb F C Bb Dm Bbmaj7 C9 F Bb F Gm Bb Dm C Bb C9 F C Bb Dm Bbmaj7 C9 F Bb F Bb F Bb F,dom7 fifth dom7 fifth dom7 fifth dom7 fifth diatonic relative _ diatonic diatonic fifth dom7 fifth dom7 fifth diatonic relative _ diatonic diatonic fifth fifth diatonic _ _ _ _ dom7 fifth diatonic relative _ diatonic diatonic _ _ fifth diatonic _ _ _ _ dom7 fifth dom7 fifth dom7 fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,C9
Frank Sinatra - Fly Me To The Moon,51,Am7 Dm7 G7 Cmaj7 Dm7 F Cmaj7 Em A7 Dm7 F Cmaj7 E7 Am7 Dm7 G7 Cmaj7 Dm7 F Cmaj7 Em A7 Dm7 F Fm C6 Am7 Dm7 G7 Cmaj7 Dm7 F Cmaj7 F7 Em A7 Dm7 F Cmaj7 E7 Am7 Dm7 G7 Cmaj7 Dm7 F Fm7 Ab Gm7 G7 C,dom7 dom7 dom7 diatonic relative fifth _ dom7 dom7 relative fifth borrowed dom7 dom7 dom7 dom7 diatonic relative fifth _ dom7 dom7 relative parallel _ _ dom7 dom7 dom7 diatonic relative fifth dom7 diatonic dom7 dom7 relative fifth borrowed dom7 dom7 dom7 dom7 diatonic relative parallel relative diatonic parallel dom7,fifth|plagal|diatonic|relative|borrowed|parallel|dom7|chromaticMediant|tritoneSub,C6
Frank Sinatra - My Way,45,D Em A7 D Asus4 A G D Em A7 D Asus4 A G D G Gmaj7 Em7 A7 F#m7 Bm7 Em7 A7 G6 D Em A7 D Asus4 A G D Em7 A7 F#m7 Bm7 Em7 A7 G6 D F#m Bm7 A G6 D,diatonic dom7 dom7 fifth _ diatonic fifth diatonic dom7 dom7 fifth _ diatonic fifth dom7 _ relative dom7 relative dom7 dom7 dom7 _ _ diatonic dom7 dom7 fifth _ diatonic fifth diatonic dom7 relative dom7 dom7 dom7 _ _ _ dom7 diatonic _ _,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,G6
Frankie Valli - Can't Take My Eyes Off You,61,F# F#dim E Emaj7 E7 A E F# F#dim E Emaj7 E7 A E F# F#dim E F#m B E C#m F#m7 B G#m7 C#m7 F#m7 B Emaj7 C#m F#m7 B G#m7 C#m7 F#m7 D7 G Gmaj7 G7 C G A Adim G F#m B E C#m F#m7 B G#m7 C#m7 F#m7 B Emaj7 C#m F#m7 B G#m7 C#m7 F#m7 D7,_ _ _ _ dom7 fifth diatonic _ _ _ _ dom7 fifth diatonic _ _ diatonic dom7 dom7 relative dom7 dom7 relative dom7 dom7 dom7 dom7 relative dom7 dom7 relative dom7 dom7 _ dom7 _ _ dom7 fifth diatonic _ _ diatonic dom7 dom7 relative dom7 dom7 relative dom7 dom7 dom7 dom7 relative dom7 dom7 relative dom7 dom7 _,fifth|plagal|diatonic|relative|borrowed|dom7|tritoneSub,
Gary Jules (Tears For Fears) - Mad World,62,Fm Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb Fm Bb,dom7 _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ dom7 _ dom7 _ dom7 _ dom7 _ dom7 _ dom7 _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ dom7 _ dom7 _ dom7 _ dom7 _ dom7 _ dom7 _ dom7 _ dom7,fifth|plagal|relative|dom7,
Geese - Au Pays du Cocaine,32,Ab Db Eb Ab Db Eb Ab Db Eb Db Eb Db Eb Fm Eb Fm Ab Db Eb Ab Db Eb Ab Db Eb Db Eb Db Eb Fm Eb Fm,dom7 diatonic dom7 dom7 diatonic dom7 dom7 diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic relative dom7 diatonic dom7 dom7 diatonic dom7 dom7 diatonic diatonic diatonic diatonic diatonic diatonic diatonic diatonic,diatonic|relative|iiVI|borrowed|dom7,
Gerry & The Pacemakers - You'll Never Walk Alone,29,C G F C G Gm Dm Bb F Dm Bb Am Gm F E C7 F Abdim C Fm C Em F G C F G7 F C,fifth diatonic fifth fifth parallel fifth _ fifth relative _ diatonic diatonic diatonic tritoneSub borrowed dom7 _ _ dom7 borrowed _ diatonic diatonic dom7 dom7 diatonic diatonic fifth,fifth|plagal|diatonic|relative|iiVI|borrowed|parallel|dom7|chromaticMediant|tritoneSub,
Gerry Rafferty - Right Down The Line,123,Dm C Am F C G Am G F Dm C Am F Dm C Am F Dm C Am F C G Am G F Dm C Am F Dm C Am F Dm C Am F C G Am G F D Bm G E A F Dm Bm G E A F Dm C Am F Dm C Am F Dm C Am F C G Am G F Dm C Am F C G Am G F D Bm G E A F Dm Bm G E A F Dm C Am F Dm C Am F Dm C Am F C G Am G F D Bm G E A F Dm Bm G E A F Dm,diatonic relative _ fifth fifth diatonic diatonic diatonic relative diatonic relative _ relative diatonic relative _ relative diatonic relative _ fifth fifth diatonic diatonic diatonic relative diatonic relative _ relative diatonic relative _ relative diatonic relative _ fifth fifth diatonic diatonic diatonic borrowed relative _ borrowed dom7 borrowed relative chromaticMediant _ borrowed dom7 borrowed relative diatonic relative _ relative diatonic relative _ relative diatonic relative _ fifth fifth diatonic diatonic diatonic relative diatonic relative _ fifth fifth diatonic diatonic diatonic borrowed relative _ borrowed dom7 borrowed relative chromaticMediant _ borrowed dom7 borrowed relative diatonic relative _ relative diatonic relative _ relative diatonic relative _ fifth fifth diatonic diatonic diatonic borrowed relative _ borrowed dom7 borrowed relative chromaticMediant _ borrowed dom7 borrowed relative,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,
Gilbert O'Sullivan - Alone Again (Naturally),39,F# F#aug F#6 F7 A#m7 F#maj7 F#6 A#m7 D#9 C#m7 F# F#aug F#6 F7 A#m7 F#maj7 F#6 A#m7 D#9 A E7 C#maj7 G#m7 B C#7 F#maj7 F#6 A#m7 D#9 F# F#aug F#6 F7 A#m7 G#m7 F#maj7 F#6 A#m7 D#9,_ _ _ dom7 _ _ _ _ _ dom7 _ _ _ dom7 _ _ _ _ _ fifth borrowed _ relative diatonic dom7 _ _ _ _ _ _ _ dom7 diatonic diatonic _ _ _,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7|chromaticMediant,F#aug|F#6|D#9
Gillian Welch - Look At Miss Ohio,85,F C G Am F C G F C G Am F C G F C G F C G Am F C G F C G Am D9 F C G Am F C G F C G F C G Am F C G F C G Am D9 F C G Am F C G F C G Am F C G F C G F C G Am G F C G F C G F C G F C G,fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic _ _ fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic _ _ fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic _ fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic diatonic diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth diatonic fifth fifth,fifth|plagal|diatonic|iiVI|borrowed,D9
Glass Animals - Heat Waves,156,C#m B G#m F# C#m B G#m F# C#m B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B C#m F# C#m B G#m F# E B C#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B C#m F# C#m B G#m F# C#m B G#m F# E F# G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# E F# G#m B E F# G#m D# E F# G#m B C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E B G#m F# C#m B G#m F# E G#m C#m F# C#m B G#m F# E B C#m F#,diatonic relative diatonic _ diatonic relative diatonic _ diatonic relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth diatonic dom7 _ diatonic relative diatonic diatonic fifth diatonic dom7 _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth diatonic dom7 _ diatonic relative diatonic _ diatonic relative diatonic diatonic diatonic diatonic diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic diatonic diatonic diatonic relative dom7 diatonic diatonic borrowed _ diatonic diatonic relative diatonic diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic fifth relative diatonic _ diatonic relative diatonic diatonic _ dom7 dom7 _ diatonic relative diatonic diatonic fifth diatonic dom7,fifth|plagal|diatonic|relative|iiVI|borrowed|dom7,
Glen Campbell - Wichita Lineman,27,Fmaj7 C9 Fmaj7 C9 Bbmaj7 Am7 C9 Dm7 Am7 G D Cadd2 G Bbmaj7 Am7 C9 Dm7 Am7 G D Bbmaj7 Am7 C9 Dm7 Am7 G D,_ _ _ _ diatonic _ _ fifth diatonic fifth _ _ borrowed diatonic _ _ fifth diatonic fifth borrowed diatonic _ _ fifth diatonic fifth,fifth|plagal|diatonic|iiVI|borrowed|chromaticMediant|tritoneSub,C9|Cadd2
Grateful Dead - Ripple,64,G C G C G D C G C G C G D C G C G C G D C G Am D G C A D G C G C G D C G C G C G D C G Am D G C A D G C G C G D C G C G C G D C G,dom7 fifth dom7 fifth fifth diatonic fifth dom7 fifth dom7 fifth fifth diatonic fifth dom7 fifth dom7 fifth fifth diatonic fifth diatonic dom7 dom7 dom7 borrowed dom7 dom7 dom7 fifth dom7 fifth fifth diatonic fifth dom7 fifth dom7 fifth fifth diatonic fifth diatonic dom7 dom7 dom7 borrowed dom7 dom7 dom7 fifth dom7 fifth fifth diatonic fifth dom7 fifth dom7 fifth fifth diatonic fifth,fifth|plagal|diatonic|borrowed|dom7|chromaticMediant,
Green Day - Boulevard of Broken Dreams,146,Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb C Db Ab Eb Fm Db Ab Eb Fm Db Ab Eb Fm Db Ab C Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb Fm Ab Eb Bb C Db Ab Eb Fm Db Ab Eb Fm Db Ab Eb Fm Db Ab C Fm Ab Eb Bb Fm Ab Eb Bb C Db Ab Eb Fm Db Ab C Fm Ab Eb Bb Fm Ab Eb Bb C Db Ab Eb Fm Db Ab Eb Fm Db Ab Eb Fm Db Ab C Fm Db Eb D Ab E,relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth borrowed dom7 relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth _ relative fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth borrowed dom7 relative fifth fifth _ relative fifth fifth diatonic _ fifth fifth diatonic _ fifth borrowed dom7 relative fifth fifth _ relative fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth fifth diatonic _ fifth borrowed dom7 _ diatonic tritoneSub _ borrowed,fifth|plagal|diatonic|relative|borrowed|dom7|chromaticMediant|tritoneSub,
